Title,Source Query,City,Verdict,Real Type (reference),Google Maps Link (verify)
The Smoking Joint BBQ Siargao,"cafes in Cloud 9, Siargao & Surigao, Philippines",Cloud 9,BBQ,restaurant,https://www.google.com/maps/place/The+Smoking+Joint+BBQ+Siargao/data=!4m7!3m6!1s0x3303f7f4464562f3:0x93a5e7dd2aa308f9!8m2!3d9.7844313!4d126.1605282!16s%2Fg%2F11hym2bjs0!19sChIJ82JFRvT3AzMR-QijKt3npZM?authuser=0&hl=en&rclk=1
Sanabowl Superfood Café,"cafes in General Luna, Siargao & Surigao, Philippines",General Luna,café,coffee shop,https://www.google.com/maps/place/Sanabowl+Superfood+Caf%C3%A9/data=!4m7!3m6!1s0x3303f7de3ea0c8d1:0x212ba9d1951c33e0!8m2!3d9.7858964!4d126.1613686!16s%2Fg%2F11stvq1rzt!19sChIJ0cigPt73AzMR4DMcldGpKyE?authuser=0&hl=en&rclk=1
Good Times Coffee,"cafes in General Luna, Siargao & Surigao, Philippines",General Luna,café,coffee shop,https://www.google.com/maps/place/Good+Times+Coffee/data=!4m7!3m6!1s0x3303f7854ef4f8bf:0x549d1c1704b89bb7!8m2!3d9.7918155!4d126.1616281!16s%2Fg%2F11vy0z9r2x!19sChIJv_j0ToX3AzMRt5u4BBccnVQ?authuser=0&hl=en&rclk=1
Mellows Café Siargao,"cafes in General Luna, Siargao & Surigao, Philippines",General Luna,café,cafe,https://www.google.com/maps/place/Mellows+Caf%C3%A9+Siargao/data=!4m7!3m6!1s0x3303f71b5d6805e3:0x459e14a6105b319b!8m2!3d9.781665!4d126.1572596!16s%2Fg%2F11yfrx7c_3!19sChIJ4wVoXRv3AzMRmzFbEKYUnkU?authuser=0&hl=en&rclk=1
Don Macchiatos - Siargao,"cafes in General Luna, Siargao & Surigao, Philippines",General Luna,café,coffee shop,https://www.google.com/maps/place/Don+Macchiatos+-+Siargao/data=!4m7!3m6!1s0x3303f76a8b02b129:0xc881acd15791a5f6!8m2!3d9.7836781!4d126.1562465!16s%2Fg%2F11l6216f96!19sChIJKbECi2r3AzMR9qWRV9Gsgcg?authuser=0&hl=en&rclk=1
CFS CAFE,"cafes in General Luna, Siargao & Surigao, Philippines",General Luna,café,coffee shop,https://www.google.com/maps/place/CFS+CAFE/data=!4m7!3m6!1s0x3304099442634ecf:0xa89183f0abb58cf2!8m2!3d9.7914812!4d126.160518!16s%2Fg%2F11khr_9xdd!19sChIJz05jQpQJBDMR8oy1q_CDkag?authuser=0&hl=en&rclk=1
Ocean Tribe Dive Center,"dive shops in Cloud 9, Siargao & Surigao, Philippines",Cloud 9,Diving center,diving center,https://www.google.com/maps/place/Ocean+Tribe+Dive+Center/data=!4m7!3m6!1s0x3304090036056f11:0x4c43a69e7b7e8809!8m2!3d9.8102603!4d126.1649299!16s%2Fg%2F11x1c6w_49!19sChIJEW8FNgAJBDMRCYh-e56mQ0w?authuser=0&hl=en&rclk=1
OZEN Freediving Siargao,"dive shops in Cloud 9, Siargao & Surigao, Philippines",Cloud 9,Diving center,diving center,https://www.google.com/maps/place/OZEN+Freediving+Siargao/data=!4m11!3m10!1s0x3303f7755fea5171:0x92022d1d2054ee39!5m3!1s2026-10-31!4m1!1i2!8m2!3d9.8073347!4d126.1601249!16s%2Fg%2F11tx6fzx5k!19sChIJcVHqX3X3AzMROe5UIB0tApI?authuser=0&hl=en&rclk=1
Palaka Siargao Dive Center,"dive shops in Cloud 9, Siargao & Surigao, Philippines",Cloud 9,Diving center,diving center,https://www.google.com/maps/place/Palaka+Siargao+Dive+Center/data=!4m7!3m6!1s0x3303f615af22c415:0xaee468b5a4a68b97!8m2!3d9.7812195!4d126.1556092!16s%2Fg%2F12lktnqz2!19sChIJFcQirxX2AzMRl4umpLVo5K4?authuser=0&hl=en&rclk=1
"Vultun Massage Spa and Home Service, Pilates, & Surf","dive shops in Cloud 9, Siargao & Surigao, Philippines",Cloud 9,Spa,massage spa,"https://www.google.com/maps/place/Vultun+Massage+Spa+and+Home+Service,+Pilates,+%26+Surf/data=!4m7!3m6!1s0x3304092b57629d0b:0xb08ff02e675cb3a1!8m2!3d9.8129708!4d126.1615121!16s%2Fg%2F11sdy1h4tp!19sChIJC51iVysJBDMRobNcZy7wj7A?authuser=0&hl=en&rclk=1"
