Title,City,Filed As,Verdict,Action,Re-filed To,Reason,Note
Coconut Plantation,Siargao,tours,REVIEW,keep,tours,no rule for amenity 'tours',uncertain — kept by default
Foxtail Travel & Tours,Siargao,tours,REVIEW,keep,tours,no rule for amenity 'tours',uncertain — kept by default
WildSiargao,Siargao,tours,REVIEW,keep,tours,no rule for amenity 'tours',uncertain — kept by default
Maasin River Bridge,Siargao,tours,REVIEW,keep,tours,no rule for amenity 'tours',uncertain — kept by default
Magpupungko Tidal Pool,Siargao,tours,REVIEW,keep,tours,no rule for amenity 'tours',uncertain — kept by default
Pamomoan Beach,Siargao,tours,REVIEW,keep,tours,no rule for amenity 'tours',uncertain — kept by default
Right Travel and Tours Siargao,Siargao,tours,REVIEW,keep,tours,no rule for amenity 'tours',uncertain — kept by default
Siargao Mermaid,Siargao,dive shops,REVIEW,keep,dive shops,no rule for amenity 'dive shops',uncertain — kept by default
Kawhagan Island,Siargao,dive shops,REVIEW,keep,dive shops,no rule for amenity 'dive shops',uncertain — kept by default
Beyond Freediving Siargao,Siargao,dive shops,INCORRECT,remove,,business not operating,fits no amenity — removed
CHEERS N' SHOTS ISLAND RESTOBAR,Siargao,bars,REVIEW,keep,bars,no rule for amenity 'bars',uncertain — kept by default
Resto Bar Magpupungko,Siargao,bars,REVIEW,keep,bars,no rule for amenity 'bars',uncertain — kept by default
Kwai Siargao,Siargao,bars,REVIEW,keep,bars,no rule for amenity 'bars',uncertain — kept by default
Centro sa Dayan Resto Bar,Siargao,bars,REVIEW,keep,bars,no rule for amenity 'bars',uncertain — kept by default
"Ocean 101 Bar , Restaurant & Resort",Siargao,bars,REVIEW,keep,bars,no rule for amenity 'bars',uncertain — kept by default
DAYOH Café/Bar,Siargao,bars,REVIEW,keep,bars,no rule for amenity 'bars',uncertain — kept by default
Tiburon Siargao,Siargao,bars,REVIEW,keep,bars,no rule for amenity 'bars',uncertain — kept by default
Global Food Café Siargao,Siargao,bars,REVIEW,keep,bars,no rule for amenity 'bars',uncertain — kept by default
Michael's Restaurant Siargao,Siargao,bars,REVIEW,keep,bars,no rule for amenity 'bars',uncertain — kept by default
Thai Foon,Siargao,bars,REVIEW,keep,bars,no rule for amenity 'bars',uncertain — kept by default
Amazing beach siargao,Siargao,nightclubs,REVIEW,keep,nightclubs,no rule for amenity 'nightclubs',uncertain — kept by default
Secret Surf Spot of the south,Siargao,nightclubs,REVIEW,keep,nightclubs,no rule for amenity 'nightclubs',uncertain — kept by default
Bake X Siargao/Siram Siargao,Siargao,nightclubs,REVIEW,keep,nightclubs,no rule for amenity 'nightclubs',uncertain — kept by default
RedDoorz @ Kopinos Tourist Inn Hotel,Sugba Lagoon,hostels,REVIEW,keep,hostels,no rule for amenity 'hostels',uncertain — kept by default
Andrea's Homestay Siargao for Backpacker,Sugba Lagoon,hostels,REVIEW,keep,hostels,no rule for amenity 'hostels',uncertain — kept by default
Hang Loose hostel,Sugba Lagoon,bed and breakfast,REVIEW,keep,bed and breakfast,no rule for amenity 'bed and breakfast',uncertain — kept by default
Zira’s milktea and takoyaki,Sugba Lagoon,restaurants,REVIEW,keep,restaurants,no rule for amenity 'restaurants',uncertain — kept by default
Sulima Eatery,Sugba Lagoon,restaurants,REVIEW,keep,restaurants,no rule for amenity 'restaurants',uncertain — kept by default
Esing-Garden BBQ Hauz & Catering Services,Sugba Lagoon,restaurants,REVIEW,keep,restaurants,no rule for amenity 'restaurants',uncertain — kept by default
Deja Brew Siargao Cafe,Sugba Lagoon,restaurants,REVIEW,keep,restaurants,no rule for amenity 'restaurants',uncertain — kept by default
De Palmera Inn a.k.a Chillin Bar and Grill,Sugba Lagoon,restaurants,REVIEW,keep,restaurants,no rule for amenity 'restaurants',uncertain — kept by default
SEA BREEZE EATTERY,Sugba Lagoon,restaurants,REVIEW,keep,restaurants,no rule for amenity 'restaurants',uncertain — kept by default
