Title,City,Filed As,Verdict,Action,Re-filed To,Reason,Note
Brow,General Luna,bars,REVIEW,keep,bars,no rule for amenity 'bars',uncertain — kept by default
Bar Ciao IAO,General Luna,bars,REVIEW,keep,bars,no rule for amenity 'bars',uncertain — kept by default
Lagkaw Beach Bar,General Luna,bars,REVIEW,keep,bars,no rule for amenity 'bars',uncertain — kept by default
Coco Dingo,General Luna,bars,REVIEW,keep,bars,no rule for amenity 'bars',uncertain — kept by default
Tiki Bar,General Luna,bars,REVIEW,keep,bars,no rule for amenity 'bars',uncertain — kept by default
Paraluman Gin Parlour,General Luna,bars,REVIEW,keep,bars,no rule for amenity 'bars',uncertain — kept by default
Extension,General Luna,bars,REVIEW,keep,bars,no rule for amenity 'bars',uncertain — kept by default
Two Brown Boys Siargao - Sports Bar,General Luna,bars,REVIEW,keep,bars,no rule for amenity 'bars',uncertain — kept by default
Siargao Bakhaw Grill and Restobar,General Luna,bars,REVIEW,keep,bars,no rule for amenity 'bars',uncertain — kept by default
Matcha Bar - Siargao,General Luna,bars,REVIEW,keep,bars,no rule for amenity 'bars',uncertain — kept by default
Kanaloa,General Luna,bars,REVIEW,keep,bars,no rule for amenity 'bars',uncertain — kept by default
Bar 150 Siargao,General Luna,bars,REVIEW,keep,bars,no rule for amenity 'bars',uncertain — kept by default
Boom's Siargao,General Luna,bars,REVIEW,keep,bars,no rule for amenity 'bars',uncertain — kept by default
NOOK Bar Siargao,General Luna,bars,REVIEW,keep,bars,no rule for amenity 'bars',uncertain — kept by default
Baile Restobar,General Luna,bars,REVIEW,keep,bars,no rule for amenity 'bars',uncertain — kept by default
Bonnie Siargao,General Luna,bars,REVIEW,keep,bars,no rule for amenity 'bars',uncertain — kept by default
Luca Restobar,General Luna,bars,REVIEW,keep,bars,no rule for amenity 'bars',uncertain — kept by default
La Sola Sunset Bar & Lounge,General Luna,nightlife,REVIEW,keep,nightlife,no rule for amenity 'nightlife',uncertain — kept by default
Lost In Siargao,General Luna,nightlife,REVIEW,keep,nightlife,no rule for amenity 'nightlife',uncertain — kept by default
Violegre Gastropub,General Luna,nightlife,REVIEW,keep,nightlife,no rule for amenity 'nightlife',uncertain — kept by default
Mekeni backroad,General Luna,nightlife,REVIEW,keep,nightlife,no rule for amenity 'nightlife',uncertain — kept by default
Happy Islanders Surf Club,General Luna,nightlife,REVIEW,keep,nightlife,no rule for amenity 'nightlife',uncertain — kept by default
NhamNham Food & Beverage Siargao,General Luna,nightlife,REVIEW,keep,nightlife,no rule for amenity 'nightlife',uncertain — kept by default
Seabreeze Kite Club,General Luna,nightlife,REVIEW,keep,nightlife,no rule for amenity 'nightlife',uncertain — kept by default
Sinag Surf Club,General Luna,nightlife,REVIEW,keep,nightlife,no rule for amenity 'nightlife',uncertain — kept by default
Hale Aloha and Siargao Yacht and Foiling Club,General Luna,nightlife,REVIEW,keep,nightlife,no rule for amenity 'nightlife',uncertain — kept by default
Dre's Place,General Luna,nightlife,REVIEW,keep,nightlife,no rule for amenity 'nightlife',uncertain — kept by default
The Siargao Tennis Club,General Luna,nightlife,REVIEW,keep,nightlife,no rule for amenity 'nightlife',uncertain — kept by default
ShakaBrah Siargao,General Luna,nightlife,REVIEW,keep,nightlife,no rule for amenity 'nightlife',uncertain — kept by default
Felix surf club 肥力冲浪俱乐部,General Luna,nightlife,REVIEW,keep,nightlife,no rule for amenity 'nightlife',uncertain — kept by default
Ronin Siargao Jiujitsu,General Luna,nightlife,REVIEW,keep,nightlife,no rule for amenity 'nightlife',uncertain — kept by default
Kalipay Restaurant Siargao,General Luna,nightlife,REVIEW,keep,nightlife,no rule for amenity 'nightlife',uncertain — kept by default
